ID,Language,Category,Author,Title,Format,Primary_Source,Download_URL
26,French,"Adventure, Mystery & Sci-Fi",Eugène Sue,Les Mystères de Paris,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Eugène+Sue+Les+Mystères+de+Paris
27,French,"Adventure, Mystery & Sci-Fi",Eugène Sue,Le Juif errant,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Eugène+Sue+Le+Juif+errant
28,French,"Adventure, Mystery & Sci-Fi",Paul Féval,Le Bossu,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Paul+Féval+Le+Bossu
29,French,"Adventure, Mystery & Sci-Fi",Paul Féval,Les Habits Noirs,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Paul+Féval+Les+Habits+Noirs
30,French,"Adventure, Mystery & Sci-Fi",J.-H. Rosny aîné,La Guerre du feu,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=J.-H.+Rosny+aîné+La+Guerre+du+feu
31,French,"Adventure, Mystery & Sci-Fi",Louis Boussenard,Le Capitaine Casse-Cou,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Louis+Boussenard+Le+Capitaine+Casse-Cou
32,French,"Adventure, Mystery & Sci-Fi",Pierre Souvestre & Marcel Allain,Fantômas,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Pierre+Souvestre+&+Marcel+Allain+Fantômas
33,French,"Adventure, Mystery & Sci-Fi",Pierre Souvestre & Marcel Allain,Juve contre Fantômas,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Pierre+Souvestre+&+Marcel+Allain+Juve+contre+Fantômas
34,French,"Adventure, Mystery & Sci-Fi",Achille Eyraud,Voyage à la Vénus,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Achille+Eyraud+Voyage+à+la+Vénus
35,French,"Adventure, Mystery & Sci-Fi",Charlemagne Ischir Defontenay,Star ou Csiromah,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Charlemagne+Ischir+Defontenay+Star+ou+Csiromah
36,French,"Realism, Naturalism & Social Drama",Victor Hugo,Les Misérables (Tomes I-V),EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Victor+Hugo+Les+Misérables+(Tomes+I-V)
37,French,"Realism, Naturalism & Social Drama",Victor Hugo,Notre-Dame de Paris,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Victor+Hugo+Notre-Dame+de+Paris
38,French,"Realism, Naturalism & Social Drama",Victor Hugo,Quatrevingt-treize,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Victor+Hugo+Quatrevingt-treize
39,French,"Realism, Naturalism & Social Drama",Victor Hugo,L'Homme qui rit,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Victor+Hugo+L'Homme+qui+rit
40,French,"Realism, Naturalism & Social Drama",Victor Hugo,Les Travailleurs de la mer,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Victor+Hugo+Les+Travailleurs+de+la+mer
41,French,"Realism, Naturalism & Social Drama",Victor Hugo,Le Dernier Jour d'un condamné,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Victor+Hugo+Le+Dernier+Jour+d'un+condamné
42,French,"Realism, Naturalism & Social Drama",Gustave Flaubert,Madame Bovary,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gustave+Flaubert+Madame+Bovary
43,French,"Realism, Naturalism & Social Drama",Gustave Flaubert,L'Éducation sentimentale,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gustave+Flaubert+L'Éducation+sentimentale
44,French,"Realism, Naturalism & Social Drama",Gustave Flaubert,Salammbô,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gustave+Flaubert+Salammbô
45,French,"Realism, Naturalism & Social Drama",Gustave Flaubert,Bouvard et Pécuchet,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gustave+Flaubert+Bouvard+et+Pécuchet
46,French,"Realism, Naturalism & Social Drama",Émile Zola,Germinal,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+Germinal
47,French,"Realism, Naturalism & Social Drama",Émile Zola,Au Bonheur des Dames,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+Au+Bonheur+des+Dames
48,French,"Realism, Naturalism & Social Drama",Émile Zola,L'Assommoir,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+L'Assommoir
49,French,"Realism, Naturalism & Social Drama",Émile Zola,La Bête humaine,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+La+Bête+humaine
50,French,"Realism, Naturalism & Social Drama",Émile Zola,Nana,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+Nana
51,French,"Realism, Naturalism & Social Drama",Émile Zola,Le Ventre de Paris,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+Le+Ventre+de+Paris
52,French,"Realism, Naturalism & Social Drama",Émile Zola,Thérèse Raquin,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+Thérèse+Raquin
53,French,"Realism, Naturalism & Social Drama",Émile Zola,L'Œuvre,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+L'Œuvre
54,French,"Realism, Naturalism & Social Drama",Émile Zola,La Terre,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Émile+Zola+La+Terre
55,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,Le Père Goriot,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+Le+Père+Goriot
56,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,Eugénie Grandet,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+Eugénie+Grandet
57,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,Illusions perdues,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+Illusions+perdues
58,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,Splendeurs et misères des courtisanes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+Splendeurs+et+misères+des+courtisanes
59,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,La Peau de chagrin,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+La+Peau+de+chagrin
60,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,Le Cousin Pons,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+Le+Cousin+Pons
61,French,"Realism, Naturalism & Social Drama",Honoré de Balzac,La Cousine Bette,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Honoré+de+Balzac+La+Cousine+Bette
62,French,"Realism, Naturalism & Social Drama",Guy de Maupassant,Bel-Ami,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Guy+de+Maupassant+Bel-Ami
63,French,"Realism, Naturalism & Social Drama",Guy de Maupassant,Une vie,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Guy+de+Maupassant+Une+vie
64,French,"Realism, Naturalism & Social Drama",Guy de Maupassant,Pierre et Jean,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Guy+de+Maupassant+Pierre+et+Jean
65,French,"Realism, Naturalism & Social Drama",Guy de Maupassant,Le Horla et autres contes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Guy+de+Maupassant+Le+Horla+et+autres+contes
66,French,"Realism, Naturalism & Social Drama",Guy de Maupassant,Boule de Suif,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Guy+de+Maupassant+Boule+de+Suif
67,French,"Realism, Naturalism & Social Drama",Stendhal,Le Rouge et le Noir,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Stendhal+Le+Rouge+et+le+Noir
68,French,"Realism, Naturalism & Social Drama",Stendhal,La Chartreuse de Parme,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Stendhal+La+Chartreuse+de+Parme
69,French,"Realism, Naturalism & Social Drama",Prosper Mérimée,Carmen,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Prosper+Mérimée+Carmen
70,French,"Realism, Naturalism & Social Drama",Prosper Mérimée,Colomba,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Prosper+Mérimée+Colomba
71,French,"Realism, Naturalism & Social Drama",George Sand,La Mare au diable,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=George+Sand+La+Mare+au+diable
72,French,"Realism, Naturalism & Social Drama",George Sand,La Petite Fadette,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=George+Sand+La+Petite+Fadette
73,French,"Realism, Naturalism & Social Drama",George Sand,Consuelo,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=George+Sand+Consuelo
74,French,"Realism, Naturalism & Social Drama",George Sand,Indiana,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=George+Sand+Indiana
75,French,"Realism, Naturalism & Social Drama",Alphonse Daudet,Lettres de mon moulin,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alphonse+Daudet+Lettres+de+mon+moulin
76,French,"Realism, Naturalism & Social Drama",Alphonse Daudet,Tartarin de Tarascon,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alphonse+Daudet+Tartarin+de+Tarascon
77,French,"Realism, Naturalism & Social Drama",Joris-Karl Huysmans,À rebours,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Joris-Karl+Huysmans+À+rebours
78,French,"Realism, Naturalism & Social Drama",Joris-Karl Huysmans,Là-bas,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Joris-Karl+Huysmans+Là-bas
79,French,"Realism, Naturalism & Social Drama",Jules Barbey d'Aurevilly,Les Diaboliques,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Barbey+d'Aurevilly+Les+Diaboliques
80,French,"Realism, Naturalism & Social Drama",Edmond et Jules de Goncourt,Germinie Lacerteux,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Edmond+et+Jules+de+Goncourt+Germinie+Lacerteux
81,French,"Philosophy, Satire & Drama",Voltaire,Candide ou l'Optimisme,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Voltaire+Candide+ou+l'Optimisme
82,French,"Philosophy, Satire & Drama",Voltaire,Zadig ou la Destinée,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Voltaire+Zadig+ou+la+Destinée
83,French,"Philosophy, Satire & Drama",Voltaire,L'Ingénu,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Voltaire+L'Ingénu
84,French,"Philosophy, Satire & Drama",Voltaire,Micromégas,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Voltaire+Micromégas
85,French,"Philosophy, Satire & Drama",Denis Diderot,Jacques le Fataliste et son maître,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Denis+Diderot+Jacques+le+Fataliste+et+son+maître
86,French,"Philosophy, Satire & Drama",Denis Diderot,La Religieuse,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Denis+Diderot+La+Religieuse
87,French,"Philosophy, Satire & Drama",Denis Diderot,Le Neveu de Rameau,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Denis+Diderot+Le+Neveu+de+Rameau
88,French,"Philosophy, Satire & Drama",Choderlos de Laclos,Les Liaisons dangereuses,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Choderlos+de+Laclos+Les+Liaisons+dangereuses
89,French,"Philosophy, Satire & Drama",Abbé Prévost,Manon Lescaut,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Abbé+Prévost+Manon+Lescaut
90,French,"Philosophy, Satire & Drama",Madame de La Fayette,La Princesse de Clèves,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Madame+de+La+Fayette+La+Princesse+de+Clèves
91,French,"Philosophy, Satire & Drama",Jean-Jacques Rousseau,Les Confessions,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jean-Jacques+Rousseau+Les+Confessions
92,French,"Philosophy, Satire & Drama",Jean-Jacques Rousseau,Du contrat social,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jean-Jacques+Rousseau+Du+contrat+social
93,French,"Philosophy, Satire & Drama",Jean-Jacques Rousseau,"Émile, ou De l'éducation",EPUB / MOBI,Ebooksgratuits / NosLivres,"https://www.noslivres.net/recherche.php?q=Jean-Jacques+Rousseau+Émile,+ou+De+l'éducation"
94,French,"Philosophy, Satire & Drama",Montesquieu,Lettres persanes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Montesquieu+Lettres+persanes
95,French,"Philosophy, Satire & Drama",Montesquieu,De l'esprit des lois,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Montesquieu+De+l'esprit+des+lois
96,French,"Philosophy, Satire & Drama",René Descartes,Discours de la méthode,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=René+Descartes+Discours+de+la+méthode
97,French,"Philosophy, Satire & Drama",Blaise Pascal,Pensées,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Blaise+Pascal+Pensées
98,French,"Philosophy, Satire & Drama",Michel de Montaigne,Essais (Livres I-III),EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Michel+de+Montaigne+Essais+(Livres+I-III)
99,French,"Philosophy, Satire & Drama",François Rabelais,Gargantua,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=François+Rabelais+Gargantua
100,French,"Philosophy, Satire & Drama",François Rabelais,Pantagruel,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=François+Rabelais+Pantagruel
101,French,"Philosophy, Satire & Drama",Jean de La Bruyère,Les Caractères,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jean+de+La+Bruyère+Les+Caractères
102,French,"Philosophy, Satire & Drama",François de La Rochefoucauld,Maximes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=François+de+La+Rochefoucauld+Maximes
103,French,"Philosophy, Satire & Drama",Marquis de Sade,Justine ou les Malheurs de la vertu,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Marquis+de+Sade+Justine+ou+les+Malheurs+de+la+vertu
104,French,"Philosophy, Satire & Drama",Bernardin de Saint-Pierre,Paul et Virginie,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Bernardin+de+Saint-Pierre+Paul+et+Virginie
105,French,"Philosophy, Satire & Drama",Xavier de Maistre,Voyage autour de ma chambre,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Xavier+de+Maistre+Voyage+autour+de+ma+chambre
106,French,"Philosophy, Satire & Drama",Vauvenargues,Réflexions et Maximes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Vauvenargues+Réflexions+et+Maximes
107,French,"Philosophy, Satire & Drama",Nicolas Chamfort,Maximes et Pensées,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Nicolas+Chamfort+Maximes+et+Pensées
108,French,"Philosophy, Satire & Drama",Molière,Le Misanthrope,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+Le+Misanthrope
109,French,"Philosophy, Satire & Drama",Molière,Tartuffe,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+Tartuffe
110,French,"Philosophy, Satire & Drama",Molière,L'Avare,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+L'Avare
111,French,"Philosophy, Satire & Drama",Molière,Le Bourgeois gentilhomme,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+Le+Bourgeois+gentilhomme
112,French,"Philosophy, Satire & Drama",Molière,Dom Juan,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+Dom+Juan
113,French,"Philosophy, Satire & Drama",Molière,Les Femmes savantes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+Les+Femmes+savantes
114,French,"Philosophy, Satire & Drama",Molière,Le Malade imaginaire,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Molière+Le+Malade+imaginaire
115,French,"Philosophy, Satire & Drama",Jean Racine,Phèdre,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jean+Racine+Phèdre
116,French,"Philosophy, Satire & Drama",Jean Racine,Andromaque,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jean+Racine+Andromaque
117,French,"Philosophy, Satire & Drama",Pierre Corneille,Le Cid,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Pierre+Corneille+Le+Cid
118,French,"Philosophy, Satire & Drama",Pierre Corneille,Horace,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Pierre+Corneille+Horace
119,French,"Philosophy, Satire & Drama",Beaumarchais,Le Barbier de Séville,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Beaumarchais+Le+Barbier+de+Séville
120,French,"Philosophy, Satire & Drama",Beaumarchais,Le Mariage de Figaro,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Beaumarchais+Le+Mariage+de+Figaro
121,French,"Philosophy, Satire & Drama",Pierre de Marivaux,Le Jeu de l'amour et du hasard,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Pierre+de+Marivaux+Le+Jeu+de+l'amour+et+du+hasard
122,French,"Philosophy, Satire & Drama",Pierre de Marivaux,La Vie de Marianne,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Pierre+de+Marivaux+La+Vie+de+Marianne
123,French,"Philosophy, Satire & Drama",Alfred de Musset,On ne badine pas avec l'amour,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alfred+de+Musset+On+ne+badine+pas+avec+l'amour
124,French,"Philosophy, Satire & Drama",Alfred de Musset,Lorenzaccio,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alfred+de+Musset+Lorenzaccio
125,French,"Philosophy, Satire & Drama",Edmond Rostand,Cyrano de Bergerac,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Edmond+Rostand+Cyrano+de+Bergerac
126,French,"Poetry, Gothic & Early 20th Century",Charles Baudelaire,Les Fleurs du Mal,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Charles+Baudelaire+Les+Fleurs+du+Mal
127,French,"Poetry, Gothic & Early 20th Century",Charles Baudelaire,Le Spleen de Paris,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Charles+Baudelaire+Le+Spleen+de+Paris
128,French,"Poetry, Gothic & Early 20th Century",Charles Baudelaire,Les Paradis artificiels,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Charles+Baudelaire+Les+Paradis+artificiels
129,French,"Poetry, Gothic & Early 20th Century",Arthur Rimbaud,Une saison en enfer,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Arthur+Rimbaud+Une+saison+en+enfer
